E:\geetansh\python\college\pp_project>py -m cProfile main.py
         108188 function calls (104310 primitive calls) in 65.865 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 __init__.py:221(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:225(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:2251(BaseWidget)
       11    0.000    0.000    0.001    0.000 __init__.py:2253(_setup)
       11    0.000    0.000    0.109    0.010 __init__.py:2286(__init__)
       11    0.000    0.000    0.000    0.000 __init__.py:2295(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:230(c_char)
     11/9    0.000    0.000    0.015    0.002 __init__.py:2302(destroy)
        1    0.000    0.000    0.000    0.000 __init__.py:2313(Widget)
        1    0.000    0.000    0.000    0.000 __init__.py:232(_register_at_fork_reinit_lock)
        1    0.000    0.000    0.000    0.000 __init__.py:2320(Toplevel)
        1    0.000    0.000    0.000    0.000 __init__.py:2322(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:2348(Button)
        1    0.000    0.000    0.000    0.000 __init__.py:235(c_char_p)
        5    0.000    0.000    0.020    0.004 __init__.py:2350(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:2393(Canvas)
        2    0.000    0.000    0.041    0.020 __init__.py:2395(__init__)
        1    0.000    0.000    0.927    0.927 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:241(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:246(c_bool)
       23    0.001    0.000    0.190    0.008 __init__.py:2470(_create)
        2    0.000    0.000    0.111    0.056 __init__.py:2487(create_image)
       14    0.000    0.000    0.077    0.006 __init__.py:2502(create_text)
        7    0.000    0.000    0.001    0.000 __init__.py:2505(create_window)
        1    0.000    0.000    0.000    0.000 __init__.py:251(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:256(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:256(c_wchar)
        1    0.000    0.000    0.001    0.001 __init__.py:259(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:2634(Checkbutton)
        1    0.000    0.000    0.000    0.000 __init__.py:2663(Entry)
        2    0.000    0.000    0.011    0.006 __init__.py:2665(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:2680(get)
        1    0.000    0.000    0.000    0.000 __init__.py:270(LogRecord)
